"sysdate","variable","municipio","value"
2022-01-15,"premium","Tlaquepaque",23.1807272727273
2022-01-16,"premium","Tlaquepaque",23.1778181818182
2022-01-17,"premium","Tlaquepaque",23.1778181818182
2022-01-18,"premium","Tlaquepaque",23.1816363636364
2022-01-19,"premium","Tlaquepaque",23.186
2022-01-20,"premium","Tlaquepaque",23.186
2022-01-21,"premium","Tlaquepaque",23.1732727272727
2022-01-22,"premium","Tlaquepaque",23.1850909090909
2022-01-23,"premium","Tlaquepaque",23.1852727272727
2022-01-24,"premium","Tlaquepaque",23.1852727272727
2022-01-25,"premium","Tlaquepaque",23.1901818181818
2022-01-26,"premium","Tlaquepaque",23.2003636363636
2022-01-27,"premium","Tlaquepaque",23.2023636363636
2022-01-28,"premium","Tlaquepaque",23.1981818181818
2022-01-29,"premium","Tlaquepaque",23.2034545454545
2022-01-30,"premium","Tlaquepaque",23.2032727272727
2022-01-31,"premium","Tlaquepaque",23.2287272727273
2022-02-01,"premium","Tlaquepaque",23.2325454545455
2022-02-02,"premium","Tlaquepaque",23.2372727272727
2022-01-01,"regular","Tlaquepaque",20.702
2022-01-02,"regular","Tlaquepaque",20.7236363636364
2022-01-03,"regular","Tlaquepaque",20.7345454545455
2022-01-04,"regular","Tlaquepaque",20.7574545454545
2022-01-05,"regular","Tlaquepaque",20.7961818181818
2022-01-06,"regular","Tlaquepaque",20.8190909090909
2022-01-07,"regular","Tlaquepaque",20.8203636363636
2022-01-08,"regular","Tlaquepaque",20.8349090909091
2022-01-09,"regular","Tlaquepaque",20.8312727272727
2022-01-10,"regular","Tlaquepaque",20.8221818181818
2022-01-11,"regular","Tlaquepaque",20.8258181818182
2022-01-12,"regular","Tlaquepaque",20.826
2022-01-13,"regular","Tlaquepaque",20.8196363636364
2022-01-14,"regular","Tlaquepaque",20.8356363636364
2022-01-15,"regular","Tlaquepaque",20.8518181818182
2022-01-16,"regular","Tlaquepaque",20.8463636363636
2022-01-17,"regular","Tlaquepaque",20.85
2022-01-18,"regular","Tlaquepaque",20.8536363636364
2022-01-19,"regular","Tlaquepaque",20.8594545454545
2022-01-20,"regular","Tlaquepaque",20.8832727272727
2022-01-21,"regular","Tlaquepaque",20.8901818181818
2022-01-22,"regular","Tlaquepaque",20.8945454545455
2022-01-23,"regular","Tlaquepaque",20.8929090909091
2022-01-24,"regular","Tlaquepaque",20.8929090909091
2022-01-25,"regular","Tlaquepaque",20.8936363636364
2022-01-26,"regular","Tlaquepaque",20.8992727272727
2022-01-27,"regular","Tlaquepaque",20.8990909090909
2022-01-28,"regular","Tlaquepaque",20.8976363636364
2022-01-29,"regular","Tlaquepaque",20.8961818181818
2022-01-30,"regular","Tlaquepaque",20.8981818181818
2022-01-31,"regular","Tlaquepaque",20.9018181818182
2022-02-01,"regular","Tlaquepaque",20.9054545454545
2022-02-02,"regular","Tlaquepaque",20.9210909090909
2022-01-01,"diesel","Tonalá",21.8417142857143
2022-01-02,"diesel","Tonalá",21.8468571428571
2022-01-03,"diesel","Tonalá",21.8748571428571
2022-01-04,"diesel","Tonalá",21.8748571428571
2022-01-05,"diesel","Tonalá",21.8662857142857
2022-01-06,"diesel","Tonalá",21.8582857142857
2022-01-07,"diesel","Tonalá",21.8522857142857
2022-01-08,"diesel","Tonalá",21.8597142857143
2022-01-09,"diesel","Tonalá",21.8691428571429
2022-01-10,"diesel","Tonalá",21.8691428571429
2022-01-11,"diesel","Tonalá",21.8691428571429
2022-01-12,"diesel","Tonalá",21.8882857142857
2022-01-13,"diesel","Tonalá",21.9302857142857
2022-01-14,"diesel","Tonalá",21.9345714285714
2022-01-15,"diesel","Tonalá",21.952
2022-01-16,"diesel","Tonalá",21.9737142857143
2022-01-17,"diesel","Tonalá",21.9737142857143
2022-01-18,"diesel","Tonalá",21.9871428571429
2022-01-19,"diesel","Tonalá",21.9871428571429
2022-01-20,"diesel","Tonalá",21.9908571428571
2022-01-21,"diesel","Tonalá",22.0005714285714
2022-01-22,"diesel","Tonalá",22.0005714285714
2022-01-23,"diesel","Tonalá",21.9988571428571
2022-01-24,"diesel","Tonalá",22.0045714285714
2022-01-25,"diesel","Tonalá",22.0045714285714
2022-01-26,"diesel","Tonalá",22.0342857142857
2022-01-27,"diesel","Tonalá",22.0474285714286
2022-01-28,"diesel","Tonalá",22.0394285714286
2022-01-29,"diesel","Tonalá",22.0402857142857
2022-01-30,"diesel","Tonalá",22.0548571428571
2022-01-31,"diesel","Tonalá",22.0548571428571
2022-02-01,"diesel","Tonalá",22.0548571428571
2022-02-02,"diesel","Tonalá",22.0748571428571
2022-01-01,"premium","Tonalá",22.96
2022-01-02,"premium","Tonalá",22.9595238095238
2022-01-03,"premium","Tonalá",22.9659523809524
2022-01-04,"premium","Tonalá",22.9659523809524
2022-01-05,"premium","Tonalá",22.967619047619
2022-01-06,"premium","Tonalá",22.9961904761905
2022-01-07,"premium","Tonalá",23.0071428571429
2022-01-08,"premium","Tonalá",23.0109523809524
2022-01-09,"premium","Tonalá",23.0119047619048
2022-01-10,"premium","Tonalá",23.0119047619048
2022-01-11,"premium","Tonalá",23.017619047619
2022-01-12,"premium","Tonalá",23.0330952380952
2022-01-13,"premium","Tonalá",23.0414285714286
2022-01-14,"premium","Tonalá",23.0495238095238
2022-01-15,"premium","Tonalá",23.0514285714286
2022-01-16,"premium","Tonalá",23.0566666666667
2022-01-17,"premium","Tonalá",23.0569047619048
2022-01-18,"premium","Tonalá",23.0569047619048
2022-01-19,"premium","Tonalá",23.047380952381
2022-01-20,"premium","Tonalá",23.0485714285714
2022-01-21,"premium","Tonalá",23.0492857142857
2022-01-22,"premium","Tonalá",23.0545238095238
2022-01-23,"premium","Tonalá",23.0545238095238
2022-01-24,"premium","Tonalá",23.057380952381
2022-01-25,"premium","Tonalá",23.057380952381
2022-01-26,"premium","Tonalá",23.0678571428571
2022-01-27,"premium","Tonalá",23.0754761904762
2022-01-28,"premium","Tonalá",23.0414285714286
2022-01-29,"premium","Tonalá",23.0947619047619
2022-01-30,"premium","Tonalá",23.1142857142857
2022-01-31,"premium","Tonalá",23.1142857142857
2022-02-01,"premium","Tonalá",23.1228571428571
2022-02-02,"premium","Tonalá",23.1252380952381
2022-01-01,"regular","Tonalá",20.9079069767442
2022-01-02,"regular","Tonalá",20.9072093023256
2022-01-03,"regular","Tonalá",20.913488372093
2022-01-04,"regular","Tonalá",20.913488372093
2022-01-05,"regular","Tonalá",20.9390697674419
2022-01-06,"regular","Tonalá",20.9458139534884
2022-01-07,"regular","Tonalá",20.9586046511628
2022-01-08,"regular","Tonalá",20.9688372093023
2022-01-09,"regular","Tonalá",20.9316279069767
2022-01-10,"regular","Tonalá",20.9239534883721
2022-01-11,"regular","Tonalá",20.9004651162791
2022-01-12,"regular","Tonalá",20.8746511627907
2022-01-13,"regular","Tonalá",20.863023255814
2022-01-14,"regular","Tonalá",20.873023255814
2022-01-15,"regular","Tonalá",20.893488372093
2022-01-16,"regular","Tonalá",20.9213953488372
2022-01-17,"regular","Tonalá",20.9220930232558
2022-01-18,"regular","Tonalá",20.9290697674419
2022-01-19,"regular","Tonalá",20.9290697674419
2022-01-20,"regular","Tonalá",20.9325581395349
2022-01-21,"regular","Tonalá",20.9451162790698
2022-01-22,"regular","Tonalá",20.9462790697674
2022-01-23,"regular","Tonalá",20.9420930232558
2022-01-24,"regular","Tonalá",20.9453488372093
2022-01-25,"regular","Tonalá",20.9523255813953
2022-01-26,"regular","Tonalá",20.956976744186
2022-01-27,"regular","Tonalá",20.9588372093023
2022-01-28,"regular","Tonalá",20.9574418604651
2022-01-29,"regular","Tonalá",20.9697674418605
2022-01-30,"regular","Tonalá",20.9786046511628
2022-01-31,"regular","Tonalá",20.9806976744186
2022-02-01,"regular","Tonalá",20.9748837209302
2022-02-02,"regular","Tonalá",20.9748837209302
2022-01-01,"diesel","Zapopan",21.8206896551724
2022-01-02,"diesel","Zapopan",21.8365517241379
2022-01-03,"diesel","Zapopan",21.8370689655172
2022-01-04,"diesel","Zapopan",21.8451724137931
2022-01-05,"diesel","Zapopan",21.8486206896552
2022-01-06,"diesel","Zapopan",21.8558620689655
2022-01-07,"diesel","Zapopan",21.8655172413793
2022-01-08,"diesel","Zapopan",21.8781034482759
2022-01-09,"diesel","Zapopan",21.8918965517241
2022-01-10,"diesel","Zapopan",21.8918965517241
2022-01-11,"diesel","Zapopan",21.8918965517241
2022-01-12,"diesel","Zapopan",21.8948275862069
2022-01-13,"diesel","Zapopan",21.9013793103448
2022-01-14,"diesel","Zapopan",21.9348275862069
2022-01-15,"diesel","Zapopan",21.9508620689655
2022-01-16,"diesel","Zapopan",21.9594827586207
2022-01-17,"diesel","Zapopan",21.9629310344828
2022-01-18,"diesel","Zapopan",21.9801724137931
