cve_ent,entidad,fecha,org,vivienda,creditos,monto,lcreditos,lmonto
1,Aguascalientes,01/06/2017,BANJERCITO,Usada,1,677486.75,,
1,Aguascalientes,01/06/2017,CFE,Usada,1,814338,,
1,Aguascalientes,01/06/2017,CONAVI,Usada,208,10966804.1584,504,31589612
1,Aguascalientes,01/06/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/06/2017,FOVISSSTE,Usada,90,60914987.4689,106,55136496
1,Aguascalientes,01/06/2017,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/06/2017,INFONAVIT,Usada,548,173798162.1883,648,166806384
1,Aguascalientes,01/06/2017,ISSFAM,Usada,2,938000,1,360000
1,Aguascalientes,01/06/2017,SHF,Usada,,,37,0
1,Aguascalientes,01/07/2017,BANCA,Nueva,53,45821125,35,19090972
1,Aguascalientes,01/07/2017,BANJERCITO,Nueva,3,1550391.9063,,
1,Aguascalientes,01/07/2017,CFE,Nueva,,,1,728312
1,Aguascalientes,01/07/2017,CONAVI,Nueva,14,873405.629,45,2707060.8
1,Aguascalientes,01/07/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/07/2017,FOVISSSTE,Nueva,21,12754325.25,14,7489974.5
1,Aguascalientes,01/07/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/07/2017,INFONAVIT,Nueva,245,84746080.4698,228,67467376
1,Aguascalientes,01/07/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/07/2017,SHF,Nueva,,,,
1,Aguascalientes,01/07/2017,BANCA,Usada,130,132203298,136,111361760
1,Aguascalientes,01/07/2017,BANJERCITO,Usada,,,,
1,Aguascalientes,01/07/2017,CFE,Usada,,,,
1,Aguascalientes,01/07/2017,CONAVI,Usada,236,12903207.0839,211,13040271
1,Aguascalientes,01/07/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/07/2017,FOVISSSTE,Usada,44,27536570.6721,91,45259288
1,Aguascalientes,01/07/2017,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/07/2017,INFONAVIT,Usada,586,192463348.3331,324,90329592
1,Aguascalientes,01/07/2017,ISSFAM,Usada,3,1260000,2,1141930
1,Aguascalientes,01/07/2017,SHF,Usada,,,,
1,Aguascalientes,01/08/2017,BANCA,Nueva,40,33827102,47,35758084
1,Aguascalientes,01/08/2017,BANJERCITO,Nueva,1,449235.4375,,
1,Aguascalientes,01/08/2017,CFE,Nueva,1,814338,,
1,Aguascalientes,01/08/2017,CONAVI,Nueva,16,960744.9804999999,16,995096.94
